telemetry_id,vehicle_id,recorded_at,soc,soh,voltage_v,current_a,temperature_c,charge_cycles,failure_risk_score
1,2,2020-01-01 00:00:00,0.8260994719533788,0.9413384480635464,210.1638812162126,-22.753095472863308,27.149201010773968,149.19092971708426,0
2,3,2020-01-01 00:15:00,0.0647280956573054,0.9160586471923408,364.0001019276295,-27.70112032314516,53.65510057817159,171.7023876915461,0
3,4,2020-01-01 00:30:00,0.8736429032501327,0.9080199765298764,388.8550890095792,-36.646406095343536,29.5590900825826,191.61764485082372,0
4,5,2020-01-01 00:45:00,0.8530092192196463,0.9164761736260691,370.5706016218644,-37.60942863227333,29.690282884375865,111.88181742364873,0
5,1,2020-01-01 01:00:00,0.9475400034950175,0.9132055886721796,390.01190363238607,-14.275808270025657,28.86433808324385,163.77437688271047,1
6,2,2020-01-01 01:15:00,0.9932704514723164,0.9431802391311888,382.5184887761277,-38.87049926798827,25.836633000955825,134.24355802351334,0
7,3,2020-01-01 01:30:00,0.8595270078874494,0.9086368652038528,244.7966030524509,-20.95949960193544,30.06675690509127,161.99794965894625,0
8,4,2020-01-01 01:45:00,0.1422097202898497,0.9414019639387904,373.5845401868669,-18.235496226434748,34.66881530992497,123.77783392713738,0
9,5,2020-01-01 02:00:00,0.8532495780186413,0.4888618657351316,350.179622876833,-11.735082052168906,32.354466722304736,118.38503845035952,1
10,1,2020-01-01 02:15:00,0.9323821151961346,0.5464850481749591,386.4962807665885,-12.438317043268611,56.7053131505831,192.5893924257927,0
11,2,2020-01-01 02:30:00,0.9566325491926022,0.9251277136919304,356.7521830521539,-23.95209810428545,55.28091975213158,199.6650866450176,0
12,3,2020-01-01 02:45:00,0.0918737440640244,0.9044725106370622,237.23518703066964,-115.80716237036144,25.10081007759836,526.0264478775484,0
13,4,2020-01-01 03:00:00,0.8601297553376285,0.9277895706267548,352.7716974264948,-16.490794953220117,25.352263381680253,586.0796740591982,1
14,5,2020-01-01 03:15:00,0.9957293191428414,0.994320270746694,378.87059246296405,-19.674955717452583,25.7331153861691,108.13190306500064,0
15,1,2020-01-01 03:30:00,0.8612753783530808,0.9558719239564506,399.0870678911909,-42.030569313469485,52.76928224119409,667.0509390683123,0
16,2,2020-01-01 03:45:00,0.8806305222691817,0.9470924819029616,217.25482423492355,-22.88646401711102,31.16776456539681,158.9068633058115,0
17,3,2020-01-01 04:00:00,0.9469833265003818,0.9429330110941788,377.16371076638,-18.66347350021041,31.23664631445487,193.70964146678077,0
18,4,2020-01-01 04:15:00,0.9320718631200527,0.9254434665170456,391.4707650336795,-14.565941958996312,33.337494659556526,180.90782276923903,0
19,5,2020-01-01 04:30:00,0.9742821173107672,0.9977522961898784,399.6791345728193,-26.25331421226427,31.32178807345099,527.4130754476797,1
20,1,2020-01-01 04:45:00,0.9037389558037496,0.4213568008632741,368.1753456554196,-14.056784499969323,54.91174322409326,165.919968616825,0
21,2,2020-01-01 05:00:00,0.865320926093299,0.9404838177850952,379.2624184658543,-45.989903363071775,46.49897216870986,115.51842734710708,1
22,3,2020-01-01 05:15:00,0.9672421785176591,0.982863402414846,385.4013005133016,-45.8129225158513,25.81487234707168,601.7428313470124,0
23,4,2020-01-01 05:30:00,0.8998009476939267,0.4254560303500746,398.7366000064411,-29.78535479454093,57.39668048543828,109.5481067786086,0
24,5,2020-01-01 05:45:00,0.904108397419642,0.9222808522595074,205.57277473711375,-29.722016324102796,31.76312864795432,673.0951432116236,0
25,1,2020-01-01 06:00:00,0.983826527349893,0.4549041455058232,396.7308849791903,-12.361170803960428,34.09910721382829,176.63220758725623,0
26,2,2020-01-01 06:15:00,0.8765505922863747,0.96757319317115,393.5633737949239,-38.55540635190326,26.19413074671996,169.4372202973832,0
27,3,2020-01-01 06:30:00,0.9568600348867596,0.428339002548932,354.28571372929724,-43.21771112280266,27.03068989616324,108.36267193770168,0
28,4,2020-01-01 06:45:00,0.9981726418796752,0.9986706992529462,233.63843986953435,-19.4577189683492,27.48466501133656,138.76223824091673,0
29,5,2020-01-01 07:00:00,0.9035990208252824,0.9153230999288234,387.9297715512101,-21.04444048786836,31.16159963686704,115.70877530140324,0
30,1,2020-01-01 07:15:00,0.8928102060214681,0.9906684015561362,397.5504122152535,-103.82193208543217,25.334380856544016,113.06435383584372,0
31,2,2020-01-01 07:30:00,0.8419062768885129,0.9849477851756232,355.0585206947404,-43.83685216271803,33.02112562134347,185.209840838089,0
32,3,2020-01-01 07:45:00,0.8777626146027853,0.949472704073095,359.5878662917081,-43.48605763360639,29.109608021498453,156.03454332538786,0
33,4,2020-01-01 08:00:00,0.8409271114447283,0.474608038441429,399.5770195481141,-48.876918936605215,33.54430915074221,184.72898169325592,0
34,5,2020-01-01 08:15:00,0.0105932395415995,0.9042322131582112,368.7777366487037,-21.428573635992368,30.959782556672454,110.13316282594158,0
35,1,2020-01-01 08:30:00,0.1623428576958085,0.9575531265055962,374.5044504492938,-20.50728024863865,30.25256657138604,100.6414218239362,0
36,2,2020-01-01 08:45:00,0.9283418998018856,0.9160242784287956,365.1788284440903,-29.077440914827424,28.73878685557783,158.70171154678326,0
37,3,2020-01-01 09:00:00,0.9318902360756616,0.9854191591415056,392.37432771091096,-37.84159910756917,31.62894798712965,536.4524843710124,0
38,4,2020-01-01 09:15:00,0.9917304919529772,0.9483468363419212,395.3453376167239,-153.05145167255546,27.313139296061934,515.4139544039816,0
39,5,2020-01-01 09:30:00,0.8635973561771965,0.9749145134762698,367.5332229593819,-37.163609487604205,30.380861844775225,118.77894974289327,0
40,1,2020-01-01 09:45:00,0.8169272516868197,0.966850212315606,351.97797898872835,-136.22486083529134,31.293665161848285,687.7458149856144,1
41,2,2020-01-01 10:00:00,0.9683041563979532,0.9633724512903376,357.03478708622094,-30.653066306325755,33.587007642838,153.87021913741566,0
42,3,2020-01-01 10:15:00,0.8066252166570302,0.9563664859036232,370.9282248649922,-29.99175133588572,29.49584666058365,181.53675878044857,0
43,4,2020-01-01 10:30:00,0.8192473202023236,0.9679448318194096,351.1937512851018,-45.166197376541966,33.952912238707874,182.72541312673212,0
44,5,2020-01-01 10:45:00,0.0162144306536192,0.9870149919133764,372.608840060863,-32.69545697987871,50.7771109962378,165.4544284497153,0
45,1,2020-01-01 11:00:00,0.8837122130427527,0.9084716959977328,390.675175148012,-26.28110785179129,31.26752520036981,153.6388810745427,0
46,2,2020-01-01 11:15:00,0.9344474386650542,0.9316523148386376,389.2371770562016,-187.8386247406193,25.85835630416712,157.09854051401226,0
47,3,2020-01-01 11:30:00,0.9649170689140842,0.5413245376718406,399.6949276716833,-28.54715311380409,34.56099706338622,175.97394397273783,1
48,4,2020-01-01 11:45:00,0.9864227413372508,0.9793948086928154,374.0465487998447,-102.07359347127252,49.56491239603449,181.87712601322517,0
49,5,2020-01-01 12:00:00,0.8027416251697641,0.9014476109428268,381.22205998612,-153.28225322764803,30.53913089919716,635.141700939368,0
50,1,2020-01-01 12:15:00,0.8447882971807079,0.967860074892084,356.3441816373434,-40.10557673935952,34.33858437708936,119.56434819246653,1
51,2,2020-01-01 12:30:00,0.0968015242758194,0.9090058542191836,390.3231828116308,-34.7060273139921,34.867364049637835,190.19386818640984,0
52,3,2020-01-01 12:45:00,0.9379494135832152,0.9517807051131958,382.5487341860847,-27.532446182914185,31.15489373116053,632.0177346890738,1
53,4,2020-01-01 13:00:00,0.0829290849305934,0.4108743950788874,395.875615676372,-132.70594804865857,26.516889393586425,663.4264600293883,0
54,5,2020-01-01 13:15:00,0.1696774230583374,0.9821862132210564,387.68033675810784,-16.328386348302104,31.00949147535656,150.00142145928913,0
55,1,2020-01-01 13:30:00,0.808199105553778,0.9392257806886192,368.645787569465,-38.06616275395834,29.637504279924723,125.13678956346152,0
56,2,2020-01-01 13:45:00,0.1565816614340951,0.9153511849152708,357.9210002030507,-26.85619729254354,30.945650868367437,163.76125377505565,0
57,3,2020-01-01 14:00:00,0.9539677877198426,0.9326658003846816,384.43784005896833,-39.98182040543191,25.70030080996229,169.0990889307309,0
58,4,2020-01-01 14:15:00,0.9457769051626872,0.907432641982602,384.09309057318814,-18.777482683581216,26.310820266997645,141.03083005688583,0
59,5,2020-01-01 14:30:00,0.9944340653971112,0.9091469944231904,385.0992956327678,-16.249657280470522,32.06582209272469,560.8135523729646,0
60,1,2020-01-01 14:45:00,0.8457436738923779,0.9576984193135591,237.69268357670109,-11.06810142925083,32.98209583626317,102.7395346913716,0
61,2,2020-01-01 15:00:00,0.9599770211076992,0.9083117909491368,241.85704853959592,-16.62282512655115,56.66382862376154,183.36152380235973,0
62,3,2020-01-01 15:15:00,0.8466848933653403,0.9175336683997904,364.8139967891366,-17.388726413218308,33.483077809975235,197.5681313580476,0
63,4,2020-01-01 15:30:00,0.8483678014174587,0.9618234227106164,398.3603562519107,-43.403107422015246,26.25744670889117,176.39736605765304,0
64,5,2020-01-01 15:45:00,0.8953416954429018,0.9107822236178456,389.8264217044395,-38.84761634834278,29.29171473302893,155.13620004124596,0
65,1,2020-01-01 16:00:00,0.9279613238609058,0.9906556325298564,353.92328939049105,-42.51456375730761,26.76590512569288,148.15340641904987,0
66,2,2020-01-01 16:15:00,0.8525627541861656,0.9525232250753948,379.19660635120056,-126.00486778856946,54.53851075583941,661.7974829486188,0
67,3,2020-01-01 16:30:00,0.9053720616147232,0.956679883553394,354.1166657405056,-29.93927409071232,34.0031308345448,106.46540608548788,0
68,4,2020-01-01 16:45:00,0.8274929768417321,0.9239721059313012,229.72493087589328,-14.103915153656883,29.706277536746047,103.33397615410009,0
69,5,2020-01-01 17:00:00,0.9864204923643768,0.9360854579092658,206.46700817781652,-20.20047358796877,31.490334712464268,164.6719953341082,0
70,1,2020-01-01 17:15:00,0.0038921946020046,0.469405984563302,398.87814273670506,-11.110638593545175,27.368167855631583,147.00051173446653,1
71,2,2020-01-01 17:30:00,0.9964711116564312,0.9818889675830916,350.9797802708653,-35.90026152557397,28.205040096128453,184.59334421778132,1
72,3,2020-01-01 17:45:00,0.8480987228739316,0.9508826216340338,392.7113630811194,-30.531347108239192,49.89754046041889,122.15907283847316,0
73,4,2020-01-01 18:00:00,0.8279094913863624,0.9417210242717228,371.8446731471636,-26.530284863308843,33.305593726406045,169.66401644748976,0
74,5,2020-01-01 18:15:00,0.8221054986211372,0.9757528000878362,366.9357142084232,-19.117504157326373,31.2718933970234,109.06194164444982,1
75,1,2020-01-01 18:30:00,0.9932687801235957,0.997561916282894,377.61007875920296,-24.69761524118593,28.749739769727803,669.1259130310873,0
76,2,2020-01-01 18:45:00,0.8036671704581649,0.9354680955555876,373.9581633539652,-194.40582794722133,29.28162899824928,657.1364931968087,0
77,3,2020-01-01 19:00:00,0.8008337475826924,0.9468195233583538,373.4959265477654,-19.70914324726943,28.83012682971267,182.49570440331857,0
78,4,2020-01-01 19:15:00,0.9432691977213622,0.959781690221824,380.7304102254012,-17.72105151254101,34.81955638731627,156.48712128760192,0
79,5,2020-01-01 19:30:00,0.9962894308775384,0.981477789615082,373.9147311977357,-41.23910436568892,30.895060057062015,127.00550419269688,0
80,1,2020-01-01 19:45:00,0.916472535274458,0.9236133484816488,394.3520768936484,-13.342779137556557,34.41497883066129,159.24125635484904,0
81,2,2020-01-01 20:00:00,0.1668948541356121,0.40887192854332,238.3074596241345,-29.834142953633624,34.94703680197404,106.011759272366,0
